Name:,Earth9-81-2,,,,
Gravity:,9.81m/s^2,,,,
,1.25,-8,12.4,6.07,7.98
,1.3,-8,12.9,5.67,8.61
,1.35,-8,13.4,5.27,9.28
,1.4,-8,13.9,4.87,9.96
,1.45,-8,14.4,4.47,10.7
,1.5,-8,14.9,4.07,11.4
,1.55,-8,15.4,3.67,12.2
,1.6,-8,15.9,3.27,13
,1.65,-8,16.4,2.87,13.8
,1.7,-8,16.8,2.47,14.6
,1.75,-8,17.3,2.07,15.5
,1.8,-8,17.8,1.67,16.3
,1.85,-8,18.3,1.27,17.3
,1.9,-8,18.8,0.865,18.2
,1.95,-8,19.3,0.465,19.1
,2,-8,19.8,0.0649,20.1
,2.05,-8,20.3,-0.335,21.1
,2.1,-8,20.8,-0.735,22.2
,2.15,-8,21.3,-1.14,23.2
,2.2,-8,21.7,-1.54,24.3
,2.25,-8,22.2,-1.94,25.4
,2.3,-8,22.7,-2.34,26.5
,2.35,-8,23.2,-2.74,27.7
,2.4,-8,23.7,-3.14,28.9
,2.45,-8,24.2,-3.54,30.1
,2.5,-8,24.7,-3.94,31.3
,,,,,
,,,,,
Name:,Jupiter25-95-2,,,,
Gravity:,25.95m/s^2,,,,
COR:,0.2,,,,
POINTS,TIME (s),X VELOCITY (m/s),Y VELOCITY (m/s),X POSITION (m),Y POSITION (m)
P0,0,0.1,0,0,0
,0.05,10,1.73,0.667,0.0721
,0.1,10,3.03,1.17,0.202
,0.15,10,4.33,1.67,0.397
,0.2,10,5.62,2.17,0.656
,0.25,10,6.92,2.67,0.981
,0.3,10,8.22,3.17,1.37
,0.35,10,9.52,3.67,1.82
,0.4,10,10.8,4.17,2.34
,0.45,10,12.1,4.67,2.93
,0.5,10,13.4,5.17,3.58
,0.55,10,14.7,5.67,4.29
,0.6,10,16,6.17,5.07
,0.65,10,17.3,6.67,5.91
,0.7,10,18.6,7.17,6.82
,0.75,10,19.9,7.67,7.8
,0.8,10,21.2,8.17,8.83
,0.85,10,22.5,8.67,9.94
,0.9,-2,23.8,8.97,11.1
,0.95,-2,25.1,8.87,12.3
,1,-2,26.4,8.77,13.6
,1.05,-2,27.7,8.67,15
,1.1,-2,29,8.57,16.4
,1.15,-2,30.3,8.47,17.9
,1.2,-2,31.6,8.37,19.5
,1.25,-2,32.9,8.27,21.1
,1.3,-2,34.2,8.17,22.8
,1.35,-2,35.5,8.07,24.5
,1.4,-2,36.8,7.97,26.4
,1.45,-2,38.1,7.87,28.2
,1.5,-2,39.4,7.77,30.2
,1.55,-2,40.7,7.67,32.2
,1.6,-2,42,7.57,34.3
,1.65,-2,43.3,7.47,36.4
,1.7,-2,44.6,7.37,38.6
,1.75,-2,45.9,7.27,40.9
,1.8,-2,47.2,7.17,43.2
,1.85,-2,48.4,7.07,45.6
,1.9,-2,49.7,6.97,48.1
,1.95,-2,51,6.87,50.6
,2,-2,52.3,6.77,53.2
,2.05,-2,53.6,6.67,55.9
,2.1,-2,54.9,6.57,58.6
,2.15,-2,56.2,6.47,61.4
,2.2,-2,57.5,6.37,64.3
,2.25,-2,58.8,6.27,67.2
,2.3,-2,60.1,6.17,70.2
,2.35,-2,61.4,6.07,73.2
,2.4,-2,62.7,5.97,76.3
,2.45,-2,64,5.87,79.5
,2.5,-2,65.3,5.77,82.8
,,,,,
,,,,,
Name:,Jupiter25-95-5,,,,
Gravity:,25.95m/s^2,,,,
COR:,0.5,,,,
